,Number,FirstRow,SecondRow,ThirdRow,Original,FirstKeyPhrase,SecondKeyPhrase,KeyEmotion
654,655,New forever stamps:,Sesame Street characters,Smiling up at me</p>, , , , 
655,656,Group of fallen trees,Scattered down a steep hillside,Rotting from the east</p>, , , , 
656,657,Sweater? Check. Rain boots?,Check. Ballerina skirt? Check.,(Dressed herself today)</p>, , , , 
657,658,Three-year-old informs,"Me she’s gluing a monster,",Smashes down cardstock</p>, , , , 
658,659,Brand new glasses brand:,Military-grade visors,(Unnecessary)</p>, , , , 
659,660,Kid scarfing down her,Cheese tortilla lectures me,On glue drying times</p>, , , , 
660,661,Three-year-old dangles,Seven glittered ornaments,From a single bough</p>, , , , 
661,662,A large stuffed pink shark,Photobombs a Zoom meeting—,I know they see it</p>, , , , 
662,663,Two small fish darting,"Back and forth in an eddy,",Shadows them-colored</p>, , , , 
663,664,Stapled paper chain:,"Twenty-eight days ’til Christmas,",The last two glittered</p>, , , , 
664,665,Five-foot Christmas tree,Lighter than I’d imagined,Leaves sap on my thumb</p>, , , , 
665,666,Catered Thanksgiving:,I’ll never cook a turkey,"Again, pie for days</p>", , , , 
666,667,Blue food coloring,Drop dissolving in a jar—,I resist mixing</p>, , , , 
667,668,Old metal swing set,"Creaks, the sunset behind it",Backdrops two good friends</p>, , , , 
668,669,Crappy pergola,"Shadows slant across our porch,",Striating the pots</p>, , , , 
669,670,At the cat café,"Kitty siblings hug, new house",Owners signing forms</p>, , , , 
670,671,Blue kinetic sand,Piles in a play bin poured from,Yellow treasure chest</p>, , , , 
671,672,Dust caked on fan blades:,"“I need to clean that,” I say,",Firing up Netflix</p>, , , , 
672,673,Forty-eight sensors,Soldered to a white breadboard—,Rainbow wires jut</p>, , , , 
673,674,At the cat café,"A slight, white feline chases",Palms on the window</p>, , , , 
674,675,Conductive monster:,Paint globs reading <em>Frankenstein</em>,With a finger’s touch</p>, , , , 
675,676,Green spray paint melting,A Styrofoam mannequin,Head propped on cinder</p>, , , , 
676,677,High green now low brown:,"Trail lost under leaves, increased",Visibility</p>, , , , 
677,678,"Kids salon: wash hands,","Climb into a pink sports car,","Get haircut, go slide</p>", , , , 
678,679,Three-year-old tickles,"Mom with kisses, their giggles",Float through the front room</p>, , , , 
679,680,My orange hoodie,Changes into a space suit,And runs for the couch</p>, , , , 
680,681,Construction paper,Turkey: feathers grateful for,"Dad, Opening doors?</p>", , , , 
681,682,Stink bug hiding in,A hive of painted wood bees—,Brown back betrays it</p>, , , , 
682,683,Ceiling fan clicking:,"One light yellow, one light white,",One light—nope—socket</p>, , , , 
683,684,Kentucky Castle,"Lords over the highway, huge,","Gaudy, amazing</p>", , , , 
684,685,Blue-eyed horse gallops,Through his pasture: when he’s close,The bluegrass rumbles</p>, , , , 
685,686,Three thoroughbred mares,Slowly approach the black fence:,One ventures a sniff</p>, , , , 
686,687,"In the dark, two white",Horses mosey over for,Five minutes of pats</p>, , , , 
687,688,Kid crosses one leg,"Over the other, again",Mom in miniature</p>, , , , 
688,689,Shopping cart handle,"Still dripping: “Thank you!” I call,",Neither back responds</p>, , , , 
689,690,“I am a turkey.”,"“Baby, are you ready to—”",“I am a turkey!”</p>, , , , 
690,691,Morning memories:,Today Grandma would have turned,100 years old</p>, , , , 
691,692,Five three-year-olds try,Eating donuts off a string—,Halloween’s the best</p>, , , , 
692,693,Costume with a cape,Shimmers in the morning light—,Preschool gate opens</p>, , , , 
693,694,End-of-the-day drink:,"Soda bubbles splash my hand,",Quick melting ice clinks</p>, , , , 
694,695,Halloween decor:,"Brand new to my three-year-old,",Memories for me</p>, , , , 
695,696,“Let’s make a rainbow.”,"Crayons disintegrating,",Perfect Roy G. Biv</p>, , , , 
696,697,Kid yanks a branch off,"A dead evergreen bush, says,","“Dad, it’s a feather!”</p>", , , , 
697,698,Stream under footbridge:,What looks like a beaver dam,Crowding the water</p>, , , , 
698,699,Atlantic Ocean,Pulls my daughter off her feet—,"Stranger calls, “Nice catch!”</p>", , , , 
699,700,Clear dawn bounces off,Our neighbor’s bright yellow house,Blinding despite blinds</p>, , , , 
700,701,Alligator clip,Makes my tungsten carbide ring,A reading machine</p>, , , , 
701,702,Desk-corner book stack,Leans a little to the right:,Two more and it’s gone</p>, , , , 
702,703,Teaching on Zoom sucks.,No other way to put it:,Teaching on Zoom sucks.</p>, , , , 
703,704,Registration day:,Electronic calendar,Fills with green boxes</p>, , , , 
704,705,Breeze rustles the trees,Over the head of a girl,Balancing on curbs</p>, , , , 
705,706,Anchors dot the sheet,I peel off a toddler bed—,"It scrunches, I chuck</p>", , , , 
706,707,Ink from a cheap pen,Fills circle after circle:,"Black marks, hope for change</p>", , , , 
707,708,New Japan Express:,Woman mopping floors inside,Where no one has been</p>, , , , 
708,709,October has cooled,"The stream, our feet change colors",And change back slower</p>, , , , 
709,710,Muffled thuds through wall:,One of two neighbors throwing,What sound like boxes</p>, , , , 
710,711,Hanging bathrobe hems,Draw a diagonal line,From hinge to doorknob</p>, , , , 
711,712,Pink sweater flashes,Into view between the trees,Around our trail’s turns</p>, , , , 
712,713,Dust of tortilla,"Chips on my plate, not a trace",Of guacamole</p>, , , , 
713,714,Caramel corn sticks to,This liquid measuring cup’s,Faded volume marks</p>, , , , 
714,715,Median littered,With litter: chunks of truck tire,Every couple feet</p>, , , , 
715,716,Dirt path covered by,Dark red leaves with brown spots leads,To a calf-deep stream</p>, , , , 
716,717,New library space:,Hover-touch interactive,Tabletops glitching</p>, , , , 
717,718,Toilet paper tubes,Paint-taped to a narrow wall:,Pom Poms tumble through</p>, , , , 
718,719,Lego-shaped bucket,Full of classic Legos—that,Familiar rattle</p>, , , , 
719,720,Three-year-old watches,A needle enter her leg—,Doesn’t even flinch</p>, , , , 
720,721,Alligator clips,Clamped to a small Arduino,Make its red light blink</p>, , , , 
721,722,Aisle dedicated,To yarn: Google teaching me,All about gauges</p>, , , , 
722,723,"Dog in the front yard,",Chicken with a naked back,Behind its thin wire</p>, , , , 
723,724,Three-year-old fairy,Tells me I’m Lord Milori,And begs for waffles</p>, , , , 
724,725,An oblong leaf falls,Spinning through a headlight beam,Transluce—nope—it’s gone</p>, , , , 
725,726,Inchworm scooching past,My fingerprint hesitates,At my IP joint</p>, , , , 
726,727,It’s been weeks since I,"Saw the moon, so I tell it",I’ve missed it and wave</p>, , , , 
727,728,Play-pretend cowgirl,Rides an inflatable horse,In a birdcage veil</p>, , , , 
728,729,Roach fleeing my shoe,Hides under a blue flip-flop,(Unfortunate choice)</p>, , , , 
729,730,Block tower growing,Over its architect’s head:,“Ready?” “Ready.” Smash</p>, , , , 
730,731,Colored light wavelengths,Quadruple the number of ,Blades on our white fan</p>, , , , 
731,732,The steady blue light,Near the charging tower’s port,Changes red—rumbles</p>, , , , 
732,733,Tree branch dipped into,The stream under our trail bridge,Becomes a paintbrush</p>, , , , 
733,734,Hand-me-down pointe shoes,+ a little leotard,= happiness</p>, , , , 
734,735,Imagination,Turns throw pillows into pools:,Couch arm cannonballs </p>, , , , 
735,736,Stuffed hedgehog drinking,Tea on a dinosaur chair,"Smiles smugly, tips</p>", , , , 
736,737,My daughter scratches,A face on a triangle:,Laughs—”He’s frustrated!”</p>, , , , 
737,738,Old man with walker,Jaywalking across four lanes,Makes me cry laughing</p>, , , , 
738,739,Plastic basketball,Hits a wall and the front door,And almost goes in</p>, , , , 
739,740,“Look through the tree door”:,Yellow spotted millipede,Crosses our damp path</p>, , , , 
740,741,The loves of my life,Read together on the floor:,My life’s amazing</p>, , , , 
741,742,Daughter informs me,"I am a train, demanding",A kitchen drop-off</p>, , , , 
742,743,Young child’s handwriting:,"Name penned in a broad circle,",Both the Ls backwards</p>, , , , 
743,744,Olaf reads a book,"On my wall, his carrot nose",Scribble-colored blue</p>, , , , 
744,745,Three-year-old doctor:,Pink stethoscope in her ears:,Quiets at heartbeat</p>, , , , 
745,746,Three-year-old wading,In a mountain stream below,A small waterfall</p>, , , , 
746,747,Cookie cutter scrapes,Lightly floured countertop:,Elephant appears</p>, , , , 
747,748,Feet make a wide splash,At the end of a deep dive:,Small bubbles surface</p>, , , , 
748,749,Poolside ladybug,Crawls up a little finger,Loudly encouraged</p>, , , , 
749,750,A doctor-baked cake,Turns out to be blue when sliced:,Everybody claps</p>, , , , 
750,751,Blue heron gliding:,Rock where we usually see,Turtles abandoned</p>, , , , 
751,752,Long-haired orange cat,"Rises slowly from the couch,",Leaves a tuft of fur</p>, , , , 
752,753,Chickens side-eye us,"Between sunflower seed bites,",Inch slowly closer</p>, , , , 
753,754,Brown goat’s foot entwined,In rope that would not hold him,If he really tried</p>, , , , 
754,755,Triangular wood,Block set down at eye level—,Now it is a roof</p>, , , , 
755,756,Released from its blue,"Elastic ties, brunette hair","Springs, splays, and stays out</p>", , , , 
756,757,Eight holes in the wall:,The nails protruding from three,Cast tiny shadows</p>, , , , 
757,758,COVID reminds me,Of something I’ve always known:,“Greek life” is garbage</p>, , , , 
758,759,Dog-eared pink Post-It—,Negative of what’s on it,Indents the next one</p>, , , , 
759,760,Small fish camouflaged,Against the river rocks dart,Around our ankles</p>, , , , 
760,761,On the small button,Of my sleeve is a small bit,Of peanut butter</p>, , , , 
761,762,Kids silhouetted,On a highway-spanning bridge:,Bikes propped on chain link</p>, , , , 
762,763,More bowls on my desk,Than in the sink or cupboard,Going on two days</p>, , , , 
763,764,University texts,Inform us of new clusters:,No one is surprised</p>, , , , 
764,765,I have been sitting,On Zoom meetings for so long,My right ankle swells</p>, , , , 
765,766,Squirrel with acorn,Side-eyes me all the way up,The oak tree he’s claimed</p>, , , , 
766,767,Hundreds of brown ants,Stream from below the bookshelf,To one Cheerio</p>, , , , 
767,768,Stream in Duke Forest,Too low to trickle—now it’s,A series of ponds</p>, , , , 
768,769,Ceiling fan slowing,To a stop—dust caked on blades,Falls slowly once swiped</p>, , , , 
769,770,Thin crack in concrete,Spans the space between corner,And white window sill</p>, , , , 
770,771,Tons of butterflies,Make a yellow-flowered tree,Look like it’s waving</p>, , , , 
771,772,My kid balances,"A stitched pillow on her head,",Recites some welcome</p>, , , , 
772,773,Page from a Frozen,Coloring book taped above,My desk waves softly</p>, , , , 
773,774,Local lumber mill’s,Huge door slides open—I smell,Sawdust on my bike</p>, , , , 
774,775,Hike with five bridges:,"By the second we are soaked,",Mushroom tops shimmer</p>, , , , 
775,776,Saturday morning,Cartoon difficult to see,With bright blinds so close</p>, , , , 
776,777,One huge zucchini,Next to two carrots so thin,I can floss with them</p>, , , , 
777,778,Nearly a foot tall,Our blue raspberry sno-cone,Makes my arm tired</p>, , , , 
778,779,New course syllabus,Slowly fills with text—COVID,Boilerplate so long</p>, , , , 
779,780,New insurance cards,So rigid and white against,Their predecessors</p>, , , , 
780,781,"Overnight, a small",Yellow spider spun a web,In our steering wheel</p>, , , , 
781,782,Little rubber stubs,From our old doormat fall from,The rug as I shake</p>, , , , 
782,783,15′ Uhaul,Waiting to turn—its dusty,Signal clicks slowly</p>, , , , 
783,784,The dentist explains,His head-to-toe protection:,“I’m like a ninja.”</p>, , , , 
784,785,Swim goggles leave red,Lines around our eyes—new pool,Liner slightly coarse</p>, , , , 
