,FirstRow,SecondRow,ThirdRow,Original,FirstKeyPhrase,SecondKeyPhrase,KeyEmotion,Number
945,for reference a,clean and simple responsive,design i love it,for reference a clean and simple responsive design i love it, , , ,946
946,i made a mistake,carrying my iced coffee,out into the snow,i made a mistake carrying my iced coffee out into the snow, , , ,947
947,i'm seeing a sea,of green on all my bags still,losing money though,i'm seeing a sea of green on all my bags still losing money though, , , ,948
948,not a question but,yes it looks like tuskegee,is treating you well,not a question but yes it looks like tuskegee is treating you well, , , ,949
949,i wish kenzie was,more supportive of my dreams,and aspirations,i wish kenzie was more supportive of my dreams and aspirations, , , ,950
950,i love that eric,is so involved in helping,me plan the wedding,i love that eric is so involved in helping me plan the wedding, , , ,951
951,i'm not going but,i'm just as nervous for my,friends who are going,i'm not going but i'm just as nervous for my friends who are going, , , ,952
952,overheard in my,kitchen gosh this cumin smells,like cumin big time,overheard in my kitchen gosh this cumin smells like cumin big time, , , ,953
953,just can't wait until,i'm at the point where i can,just get up and leave,just can't wait until i'm at the point where i can just get up and leave, , , ,954
954,i keep getting chills,thinking about this man what,has the world come to,i keep getting chills thinking about this man what has the world come to, , , ,955
955,constant mood does friend,hate me or does friend just like,everyone else more,constant mood does friend hate me or does friend just like everyone else more, , , ,956
956,you're allowed to change,your mind i'm glad you did you,did such a great job,you're allowed to change your mind i'm glad you did you did such a great job, , , ,957
957,happy birthday bro,hope your day goes awesome fuck,a bad bitch today,happy birthday bro hope your day goes awesome fuck a bad bitch today, , , ,958
958,today has barely,started i already need,it to be over,today has barely started i already need it to be over, , , ,959
959,goodnight i hope i,actually get some sleep,before tomorrow,goodnight i hope i actually get some sleep before tomorrow, , , ,960
960,there's an epilogue,for new rules what the fuck i,nearly screamed in class,there's an epilogue for new rules what the fuck i nearly screamed in class, , , ,961
961,wanted to take my,jo baby out in the snow,but it's raining now,wanted to take my jo baby out in the snow but it's raining now, , , ,962
962,currently getting,paid to watch beauty and the,beast not complaining,currently getting paid to watch beauty and the beast not complaining, , , ,963
963,forever checking,up on people who wouldn't,ever do the same,forever checking up on people who wouldn't ever do the same, , , ,964
964,not sure what happened,last night but may have given,myself brain damage,not sure what happened last night but may have given myself brain damage, , , ,965
965,nobody is too,busy its just a matter,of priorities,nobody is too busy its just a matter of priorities, , , ,966
966,if anybody,wants to help improve my mood,feel free to do so,if anybody wants to help improve my mood feel free to do so, , , ,967
967,as a robot i,like supply drops and the cod,series after aw,as a robot i like supply drops and the cod series after aw, , , ,968
968,happy thanksgiving,too everybody and hope,you enjoy your day,happy thanksgiving too everybody and hope you enjoy your day, , , ,969
969,i really need to,fix my f f before i,get dethroned today,i really need to fix my f f before i get dethroned today, , , ,970
970,what a subversion,of expectation one might,say that's comedy,what a subversion of expectation one might say that's comedy, , , ,971
971,if you really want,to spend time with your partner,then fucking show it,if you really want to spend time with your partner then fucking show it, , , ,972
972,when a pisces gets,who they want nobody else,in the world matters,when a pisces gets who they want nobody else in the world matters, , , ,973
973,a baby is born,with a need to be loved and,never outgrows it,a baby is born with a need to be loved and never outgrows it, , , ,974
974,very surprising,saying this but kyle walker,has been poor tonight,very surprising saying this but kyle walker has been poor tonight, , , ,975
975,just because you gave,birth to a child it doesn't,make you a mother,just because you gave birth to a child it doesn't make you a mother, , , ,976
976,i've been so anxious,since literally monday,what is going on,i've been so anxious since literally monday what is going on, , , ,977
977,i'm going to be,so busy until i leave,for my mom's friday,i'm going to be so busy until i leave for my mom's friday, , , ,978
978,actresses who wear,reading glasses to present,are my favorite,actresses who wear reading glasses to present are my favorite, , , ,979
979,thou shall not disturb,a book lover when he she,is reading a book,thou shall not disturb a book lover when he she is reading a book, , , ,980
980,the only curling,i want to do is all night,long only with you,the only curling i want to do is all night long only with you, , , ,981
981,better to die than,get sent to pulse it s hell,without the brimstone,better to die than get sent to pulse it s hell without the brimstone, , , ,982
982,i only saw you,for a second but it made,my day is trending,i only saw you for a second but it made my day is trending, , , ,983
983,chugging a cup of,coffee before i try to,lay down for a nap,chugging a cup of coffee before i try to lay down for a nap, , , ,984
984,i need someone to,stay with me no matter how,hard i am to be,i need someone to stay with me no matter how hard i am to be, , , ,985
985,early am workouts,don't stop those feel like a god,all day afterwards,early am workouts don't stop those feel like a god all day afterwards, , , ,986
986,well young people on,holiday all the time its,a lot to cope with,well young people on holiday all the time its a lot to cope with, , , ,987
987,good morning to you,have a great day i hope you,are feeling better,good morning to you have a great day i hope you are feeling better, , , ,988
988,y'all gotta let this,women ain't supposed to get,down and eat thing go,y'all gotta let this women ain't supposed to get down and eat thing go, , , ,989
989,i'm sorry but i,can't do this off and on thing,with you anymore,i'm sorry but i can't do this off and on thing with you anymore, , , ,990
990,if start back smoking,again i know for a fact,i'm be high as shit,if start back smoking again i know for a fact i'm be high as shit, , , ,991
991,my mom doesn't play,bangers anymore at church,i blame the choir,my mom doesn't play bangers anymore at church i blame the choir, , , ,992
992,get settled with your,popcorn and beverage kids,it's about to start,get settled with your popcorn and beverage kids it's about to start, , , ,993
993,yesterday flew by,and i didn't notice back,to daily repeat,yesterday flew by and i didn't notice back to daily repeat, , , ,994
994,gonna marry the,guy who teaches me how to,make rings out of smoke,gonna marry the guy who teaches me how to make rings out of smoke, , , ,995
995,my brother would run,th through a brick fucking,wall for marcus smart,my brother would run th through a brick fucking wall for marcus smart, , , ,996
996,you can put dinner,on to cook yet nine tenths of,the population,you can put dinner on to cook yet nine tenths of the population, , , ,997
997,people only hate,you when you're doing something,right remember that,people only hate you when you're doing something right remember that, , , ,998
998,i just honestly,don't want to lose the people,important to me,i just honestly don't want to lose the people important to me, , , ,999
999,r u stupid its,people like u who complaint,about pollution,r u stupid its people like u who complaint about pollution, , , ,1000
1000,so i think today,is my last day eating fried,foods until spring break,so i think today is my last day eating fried foods until spring break, , , ,1001
1001,i turn everything,into a competition,then cry when i lose,i turn everything into a competition then cry when i lose, , , ,1002
1002,it's fascinating,how scared people can be of,the things they ask for,it's fascinating how scared people can be of the things they ask for, , , ,1003
1003,imagine ethan,marking your shirt because you,were exercising,imagine ethan marking your shirt because you were exercising, , , ,1004
1004,i hope people up,north will be alright tough news,to get snow in spring,i hope people up north will be alright tough news to get snow in spring, , , ,1005
1005,why does mcdonald's,never wanna give me my,fucking apple juice,why does mcdonald's never wanna give me my fucking apple juice, , , ,1006
1006,pol has the highest,concentration of people,being wrong ever,pol has the highest concentration of people being wrong ever, , , ,1007
1007,no uni at all,today so i got up for,nothing at all yay,no uni at all today so i got up for nothing at all yay, , , ,1008
1008,i don't really like,you if you drink something out,of a mason jar,i don't really like you if you drink something out of a mason jar, , , ,1009
1009,atlanta is the,best show in the history,of television,atlanta is the best show in the history of television, , , ,1010
1010,i'm already sick,of winter time to book a,caribbean trip,i'm already sick of winter time to book a caribbean trip, , , ,1011
1011,i already knew,this but love knowing that the,word is getting out,i already knew this but love knowing that the word is getting out, , , ,1012
1012,oklahoma state,would've given nova a,better game than ku,oklahoma state would've given nova a better game than ku, , , ,1013
1013,drop whatever you're,watching and starting binging,on black mirror now,drop whatever you're watching and starting binging on black mirror now, , , ,1014
1014,life isn't about,finding yourself it's about,creating yourself,life isn't about finding yourself it's about creating yourself, , , ,1015
1015,accidentally,named something the ready sheath,that's being renamed,accidentally named something the ready sheath that's being renamed, , , ,1016
1016,im so tired like,you have no idea my,feet are killing me,im so tired like you have no idea my feet are killing me, , , ,1017
1017,these stupid rumors,keep on spreading again where,the hell is a ya,these stupid rumors keep on spreading again where the hell is a ya, , , ,1018
1018,i legit can't sleep,because my finger hurts so,fucking bad right now,i legit can't sleep because my finger hurts so fucking bad right now, , , ,1019
1019,be miserable,or motivate yourself the,choice is always yours,be miserable or motivate yourself the choice is always yours, , , ,1020
1020,addison all of,them cherishes you because,you are discerning,addison all of them cherishes you because you are discerning, , , ,1021
1021,ocean city for,three days in a suite yea it's,going to be nice,ocean city for three days in a suite yea it's going to be nice, , , ,1022
1022,leave me alone i,wanna go home i'm killing,everyone i love,leave me alone i wanna go home i'm killing everyone i love, , , ,1023
1023,i need someone strong,who can help me pick up a,dresser from marshalls,i need someone strong who can help me pick up a dresser from marshalls, , , ,1024
1024,welcome home read learn,fight you can't fight what you don't,know or understand,welcome home read learn fight you can't fight what you don't know or understand, , , ,1025
1025,don't you like feeling,good that is how you can make,other people feel,don't you like feeling good that is how you can make other people feel, , , ,1026
1026,thanks for including,me next time i'll toss in on,the gift i promise,thanks for including me next time i'll toss in on the gift i promise, , , ,1027
1027,imagine knowing,me it's the greatest thing you'd,ever imagine,imagine knowing me it's the greatest thing you'd ever imagine, , , ,1028
1028,im always freezing,when i go to bed but i,still never wear pants,im always freezing when i go to bed but i still never wear pants, , , ,1029
1029,vodka shots no thanks,the only shot i want is,a shot to the head,vodka shots no thanks the only shot i want is a shot to the head, , , ,1030
1030,i won't be able,to watch the brits i will be,in uni all day,i won't be able to watch the brits i will be in uni all day, , , ,1031
1031,y'all are so open,about private shit like that,could never be me,y'all are so open about private shit like that could never be me, , , ,1032
1032,where's the leafs lucky,bounces why can't boston hit,the post when they shoot,where's the leafs lucky bounces why can't boston hit the post when they shoot, , , ,1033
1033,simon hello i,wonder if you do abroad,escort appointments,simon hello i wonder if you do abroad escort appointments, , , ,1034
1034,attempting to watch,forrest gump from beginning,to end wish me luck,attempting to watch forrest gump from beginning to end wish me luck, , , ,1035
1035,deleted my porn,earlier on because of,i space played myself,deleted my porn earlier on because of i space played myself, , , ,1036
1036,i can't sleep because,i forgot what i'm supposed,to do with my arms,i can't sleep because i forgot what i'm supposed to do with my arms, , , ,1037
1037,this new season of,black mirror is really not,doing it for me,this new season of black mirror is really not doing it for me, , , ,1038
1038,i dislike people,who hold my time and makes me,the bad one instead,i dislike people who hold my time and makes me the bad one instead, , , ,1039
1039,definitely just,started rewatching it a,couple days ago,definitely just started rewatching it a couple days ago, , , ,1040
1040,never fuck with the,bear it bites and scratches so,hard you can't survive,never fuck with the bear it bites and scratches so hard you can't survive, , , ,1041
1041,creativity,is a wild carpal and a,disciplined bladder,creativity is a wild carpal and a disciplined bladder, , , ,1042
1042,i would only want,to time travel so i can,predict super bowls,i would only want to time travel so i can predict super bowls, , , ,1043
1043,i can't continue,to wait around until you,decide what you want,i can't continue to wait around until you decide what you want, , , ,1044
1044,every girl who's,tired of everything needs,lambing not sermon,every girl who's tired of everything needs lambing not sermon, , , ,1045
1045,w h o,l e s o m e n,i g h t s,w h o l e s o m e n i g h t s, , , ,1046
1046,i'd rather watch a,live doppler radar of the,sahara desert,i'd rather watch a live doppler radar of the sahara desert, , , ,1047
1047,i'm so happy it's,friday can't wait to come home,from work and just sleep,i'm so happy it's friday can't wait to come home from work and just sleep, , , ,1048
1048,our case worker,better work his magic i,miss my son so much,our case worker better work his magic i miss my son so much, , , ,1049
1049,bad decisions by,two door cinema club is,an absolute bop,bad decisions by two door cinema club is an absolute bop, , , ,1050
1050,if i eat myself,would i disappear or would,i grow twice bigger,if i eat myself would i disappear or would i grow twice bigger, , , ,1051
1051,naw like i really,can't think of anything worse,than goin out tonight,naw like i really can't think of anything worse than goin out tonight, , , ,1052
1052,who wanna have a,political debate no,beef no disrespect,who wanna have a political debate no beef no disrespect, , , ,1053
1053,i'm so tired of,hearing about meek mill and,his problems from jail,i'm so tired of hearing about meek mill and his problems from jail, , , ,1054
1054,honeydew melon,is so good i know i'm late,but i was just blessed,honeydew melon is so good i know i'm late but i was just blessed, , , ,1055
1055,my name is frances,im addicted to safeway's,chocolate chip muffins,my name is frances im addicted to safeway's chocolate chip muffins, , , ,1056
1056,probably nothing,will happen but i'm staying,up tonight in case,probably nothing will happen but i'm staying up tonight in case, , , ,1057
1057,have you taken your,medications because you,can make those pills queer,have you taken your medications because you can make those pills queer, , , ,1058
1058,so you just going,to over look what big blue,did to the badgers,so you just going to over look what big blue did to the badgers, , , ,1059
1059,i am so thankful,for the many blessings god,has placed in my life,i am so thankful for the many blessings god has placed in my life, , , ,1060
1060,really put his new,shotgun and skeet thrower in,my spot on his bed,really put his new shotgun and skeet thrower in my spot on his bed, , , ,1061
1061,i'm literally,blessed with the people i have,in my life right now,i'm literally blessed with the people i have in my life right now, , , ,1062
1062,they're so talented,i'm excited to see what,else they'll do this year,they're so talented i'm excited to see what else they'll do this year, , , ,1063
1063,fuck you whoever,won the mega millions we,cashed out on that hoe,fuck you whoever won the mega millions we cashed out on that hoe, , , ,1064
1064,look after yourself,trish you deserve it have fun,with shane tomorrow,look after yourself trish you deserve it have fun with shane tomorrow, , , ,1065
1065,i won't wait around,for you to decide whether,i'm worth it or not,i won't wait around for you to decide whether i'm worth it or not, , , ,1066
1066,i keep waking up,and falling asleep again,do i wake up now,i keep waking up and falling asleep again do i wake up now, , , ,1067
1067,following as smears,they had to find something else,to manufacture,following as smears they had to find something else to manufacture, , , ,1068
1068,don't worry about,it you don't have to thank me,for something like this,don't worry about it you don't have to thank me for something like this, , , ,1069
1069,so where the super,bowl party at i'm just here,for the food and drinks,so where the super bowl party at i'm just here for the food and drinks, , , ,1070
1070,very selfish with,my energy this month this,shit ain't up for grabs,very selfish with my energy this month this shit ain't up for grabs, , , ,1071
1071,happy thanksgiving,beautiful don't trade thor and,sign grom long term please,happy thanksgiving beautiful don't trade thor and sign grom long term please, , , ,1072
1072,my uncle headstone,was finally put up and,it looks really nice,my uncle headstone was finally put up and it looks really nice, , , ,1073
1073,ariana say,hi and bye but at least they,are both talented,ariana say hi and bye but at least they are both talented, , , ,1074
1074,are finally back,online waiting to see an,apology text,are finally back online waiting to see an apology text, , , ,1075
1075,this is going to,be a tough pill to swallow,if we lose this one,this is going to be a tough pill to swallow if we lose this one, , , ,1076
1076,i literally,always have my phone on and,loud for this reason,i literally always have my phone on and loud for this reason, , , ,1077
1077,at this hour if,you are behind me my throat,is at your mercy,at this hour if you are behind me my throat is at your mercy, , , ,1078
1078,the forgotten men,and women who have gone on,people are angry,the forgotten men and women who have gone on people are angry, , , ,1079
1079,video will play,after ad forcing us to,watch your ad and shit,video will play after ad forcing us to watch your ad and shit, , , ,1080
1080,i'd literally,lost without my amazing,friends de so grateful,i'd literally lost without my amazing friends de so grateful, , , ,1081
1081,trying to sleep while,someone screaming outside your,house isn't easy,trying to sleep while someone screaming outside your house isn't easy, , , ,1082
1082,finishing off a,uni course with an a is,a beautiful thing,finishing off a uni course with an a is a beautiful thing, , , ,1083
1083,statistically,guys are better than girls at,detecting cheaters,statistically guys are better than girls at detecting cheaters, , , ,1084
1084,it is better to,suffer for waiting than to,suffer for rushing,it is better to suffer for waiting than to suffer for rushing, , , ,1085
1085,justice will be swift,justice will be painful it,will be delicious,justice will be swift justice will be painful it will be delicious, , , ,1086
1086,every time i,give dis love shit a try it,backfire on my ass,every time i give dis love shit a try it backfire on my ass, , , ,1087
1087,are you afraid of,bein' alone cause i am,i'm lost without you,are you afraid of bein' alone cause i am i'm lost without you, , , ,1088
1088,i'm tired as hell,just got back from picking up,my brother from lax,i'm tired as hell just got back from picking up my brother from lax, , , ,1089
1089,the commentary,people are saying with the,scenes are so funny,the commentary people are saying with the scenes are so funny, , , ,1090
1090,can anyone help,with this the hunt is on for,this portrait thank you,can anyone help with this the hunt is on for this portrait thank you, , , ,1091
1091,of course she started,out with good genetics from,her handsome father,of course she started out with good genetics from her handsome father, , , ,1092
1092,selena gomez,threw the first brick at stonewall,but no one heard it,selena gomez threw the first brick at stonewall but no one heard it, , , ,1093
1093,i want someone that,can actually text me,back consistently,i want someone that can actually text me back consistently, , , ,1094
1094,i cant even talk,in spanish properly i,am white hispanic,i cant even talk in spanish properly i am white hispanic, , , ,1095
1095,fuck everyone that,tells u your not capable,of doing something,fuck everyone that tells u your not capable of doing something, , , ,1096
1096,on a lighter note,this is gold something i can,see myself doing,on a lighter note this is gold something i can see myself doing, , , ,1097
1097,i can finally,say that i am in the same,country as harry,i can finally say that i am in the same country as harry, , , ,1098
1098,friendly reminder,that i still want to get that,question mark tattoo,friendly reminder that i still want to get that question mark tattoo, , , ,1099
1099,i never seen my,dad this happy before i,love new beginnings,i never seen my dad this happy before i love new beginnings, , , ,1100
1100,anything i cried,about i made sure i bossed,up right after it,anything i cried about i made sure i bossed up right after it, , , ,1101
1101,people who over,complicate everything are,so damn annoying,people who over complicate everything are so damn annoying, , , ,1102
1102,good going today,way to stand up for a free,open internet,good going today way to stand up for a free open internet, , , ,1103
1103,i was blinded by,my feelings even the truth,i failed to notice,i was blinded by my feelings even the truth i failed to notice, , , ,1104
1104,can a convicted,felon run for president,asking for a friend,can a convicted felon run for president asking for a friend, , , ,1105
1105,team smart goodnight my,beautiful people sickness,is eating me up,team smart goodnight my beautiful people sickness is eating me up, , , ,1106
1106,do you really have,to cut it exactly at,my favorite part,do you really have to cut it exactly at my favorite part, , , ,1107
1107,we're so single your,boy dog doesn't even like,me name that roommate,we're so single your boy dog doesn't even like me name that roommate, , , ,1108
1108,i have money then,i don't have money it all,just happens so fast,i have money then i don't have money it all just happens so fast, , , ,1109
1109,when i wear only,a t shirt out i don't know,where to put my arms,when i wear only a t shirt out i don't know where to put my arms, , , ,1110
1110,they have no interests,separate however cook,stirring all the time,they have no interests separate however cook stirring all the time, , , ,1111
1111,not got a contract,at melbourne for next year how,about a move to,not got a contract at melbourne for next year how about a move to, , , ,1112
1112,being around my,family annoys the hell,out of me sometimes,being around my family annoys the hell out of me sometimes, , , ,1113
1113,hoses are sunset,orange peach blossoms coral,be sweet and so on,hoses are sunset orange peach blossoms coral be sweet and so on, , , ,1114
1114,i'm really crying,over that tweet cause that was,really me before,i'm really crying over that tweet cause that was really me before, , , ,1115
1115,wow never meet a,girl like her she's hands down what,i been looking for,wow never meet a girl like her she's hands down what i been looking for, , , ,1116
1116,i haven't had no,type of fun since i went to,vegas last july,i haven't had no type of fun since i went to vegas last july, , , ,1117
1117,things in life happen,for a reason just follow,the signs and trust him,things in life happen for a reason just follow the signs and trust him, , , ,1118
1118,your new radio,spot sounds like coronation,street and i love it,your new radio spot sounds like coronation street and i love it, , , ,1119
1119,i can honestly,say my grandparents are the,best people i know,i can honestly say my grandparents are the best people i know, , , ,1120
1120,experience the,heart break in my eyes when i,didn't get my fries,experience the heart break in my eyes when i didn't get my fries, , , ,1121
1121,looks like a living,doll so cute happy early,new year too nona,looks like a living doll so cute happy early new year too nona, , , ,1122
1122,me vs fighting,the urge to change my profile,picture yet again,me vs fighting the urge to change my profile picture yet again, , , ,1123
1123,gordon elliott,jack kennedy folsom blue,gamble landed wow,gordon elliott jack kennedy folsom blue gamble landed wow, , , ,1124
1124,welcome hello hey,all are good things to greet with,if you speak english,welcome hello hey all are good things to greet with if you speak english, , , ,1125
1125,i have very few,friends and the ones that i do,have are bad as hell,i have very few friends and the ones that i do have are bad as hell, , , ,1126
1126,instead of the state,of the union i'm going,to watch i tonya,instead of the state of the union i'm going to watch i tonya, , , ,1127
1127,so tempted to buy,a check skirt but don't know if,i can pull it off,so tempted to buy a check skirt but don't know if i can pull it off, , , ,1128
1128,some people really,have the ability to,hoe up anything,some people really have the ability to hoe up anything, , , ,1129
1129,tipper with android,jones is going to be the,wildest thing ever,tipper with android jones is going to be the wildest thing ever, , , ,1130
1130,ok yup gotta,get out of this house mhm,mhm nope i'm fine,ok yup gotta get out of this house mhm mhm nope i'm fine, , , ,1131
1131,never bend your head,always hold it high look the,world straight in the eye,never bend your head always hold it high look the world straight in the eye, , , ,1132
1132,now that is priceless,karma whatever you want,to call it awesome,now that is priceless karma whatever you want to call it awesome, , , ,1133
1133,i hold grudges too,much then i end up pushing,that person away,i hold grudges too much then i end up pushing that person away, , , ,1134
1134,im a literal,parasite in people's lives,and i fucking hate,im a literal parasite in people's lives and i fucking hate, , , ,1135
1135,honestly surround,yourself with people who can,turn a mood around,honestly surround yourself with people who can turn a mood around, , , ,1136
1136,i hate bitches who,let they miserable ass,friends get in they head,i hate bitches who let they miserable ass friends get in they head, , , ,1137
1137,i love grayson with,my whole heart and i just want,him to be happy,i love grayson with my whole heart and i just want him to be happy, , , ,1138
1138,if you listen to,me kill me you'll never be,able to save me,if you listen to me kill me you'll never be able to save me, , , ,1139
1139,i found new music,today and i'm happy i,did it's about time,i found new music today and i'm happy i did it's about time, , , ,1140
1140,because i knew you,would give up on me one day,i gave up on us,because i knew you would give up on me one day i gave up on us, , , ,1141
1141,the last saturday,leaves will fall sun will shine and,you won't see me cry,the last saturday leaves will fall sun will shine and you won't see me cry, , , ,1142
1142,graduation prom,is a few months away and,im still fucking fat,graduation prom is a few months away and im still fucking fat, , , ,1143
1143,he clearly kicked him,but you wont see media,showing this angle,he clearly kicked him but you wont see media showing this angle, , , ,1144
1144,this guy's doing his,hair like me he's walking like,me this is my look,this guy's doing his hair like me he's walking like me this is my look, , , ,1145
1145,that's so tragic for,you and all his family,my condolences,that's so tragic for you and all his family my condolences, , , ,1146
1146,when you believe the,lie of others you ignore,the truth in your heart,when you believe the lie of others you ignore the truth in your heart, , , ,1147
1147,going ham for the,cheese like im ina kitchen,put me on the bread,going ham for the cheese like im ina kitchen put me on the bread, , , ,1148
1148,please do a music,video for complete me,and gone for good please,please do a music video for complete me and gone for good please, , , ,1149
1149,me i am never,going to wear heels also,me i want more heels,me i am never going to wear heels also me i want more heels, , , ,1150
1150,flyers have a good,goal song they always seem to,have a good goal song,flyers have a good goal song they always seem to have a good goal song, , , ,1151
1151,i see my cousin,tomorrow and zach in two,days so excited,i see my cousin tomorrow and zach in two days so excited, , , ,1152
1152,i stopped talking to,him cause he said he wanted,to nut in my eye,i stopped talking to him cause he said he wanted to nut in my eye, , , ,1153
1153,playing goal for the,first time in years was such an,amazing feeling,playing goal for the first time in years was such an amazing feeling, , , ,1154
1154,be the teacher who,makes kids excited to come,to school everyday,be the teacher who makes kids excited to come to school everyday, , , ,1155
1155,torn on whether to,work more or actually,have a social life,torn on whether to work more or actually have a social life, , , ,1156
1156,nobody really,knows my name cause all you call,me is beautiful,nobody really knows my name cause all you call me is beautiful, , , ,1157
1157,goodness but do my,nieces dirty a lot of,dishes when they're here,goodness but do my nieces dirty a lot of dishes when they're here, , , ,1158
1158,i wanna shake my,ass at this party but there's,not booty music,i wanna shake my ass at this party but there's not booty music, , , ,1159
1159,accept yourself you,don't have to prove shit to no,one except yourself,accept yourself you don't have to prove shit to no one except yourself, , , ,1160
1160,my timeline is full,of girls but looks like i cant,chat with most of them,my timeline is full of girls but looks like i cant chat with most of them, , , ,1161
1161,orwell bridge closed yet,again i hear high sided,vehicles at risk,orwell bridge closed yet again i hear high sided vehicles at risk, , , ,1162
1162,u ever wear tights,like all day n then u take,them off at the end,u ever wear tights like all day n then u take them off at the end, , , ,1163
1163,morning sun midnight,moon two canvas paintings that,were made as a set,morning sun midnight moon two canvas paintings that were made as a set, , , ,1164
1164,why you worried bout,me keep a look and i be,fly up on the scene,why you worried bout me keep a look and i be fly up on the scene, , , ,1165
1165,tonight is the night,that i get drunk enough to,cut my bangs stay tuned,tonight is the night that i get drunk enough to cut my bangs stay tuned, , , ,1166
1166,erotic thriller,lemme move my bang so i,can read that again,erotic thriller lemme move my bang so i can read that again, , , ,1167
1167,i literally,ditched no way i was going,to dance like some clown,i literally ditched no way i was going to dance like some clown, , , ,1168
1168,sometimes the greatest,way to say something is to,say nothing at all,sometimes the greatest way to say something is to say nothing at all, , , ,1169
1169,tomorrow is the,last day to withdraw from a,class don't play yourself,tomorrow is the last day to withdraw from a class don't play yourself, , , ,1170
1170,hate yourself but not,your life if you keep hurting,your life i'll take it,hate yourself but not your life if you keep hurting your life i'll take it, , , ,1171
1171,taylor's been doing,us such a service with the,b stage songs this tour,taylor's been doing us such a service with the b stage songs this tour, , , ,1172
1172,my grandad has road,rage on his mobility,scooter i can't breathe,my grandad has road rage on his mobility scooter i can't breathe, , , ,1173
1173,my intrusive thoughts,are coming back and they are,going off this time,my intrusive thoughts are coming back and they are going off this time, , , ,1174
1174,really in the mood,to get pinned up against a,wall you get the rest,really in the mood to get pinned up against a wall you get the rest, , , ,1175
1175,beautiful music,i hope this goes to number,one or at least charts,beautiful music i hope this goes to number one or at least charts, , , ,1176
1176,managed to piss off,everyone by having a,job i want to keep,managed to piss off everyone by having a job i want to keep, , , ,1177
1177,all love for roger,dealings but was he high when,he got the award,all love for roger dealings but was he high when he got the award, , , ,1178
1178,i just need someone,to be there for me when i,can't hold myself up,i just need someone to be there for me when i can't hold myself up, , , ,1179
1179,no matter how bad,your kid is he's still good for,a tax exemption,no matter how bad your kid is he's still good for a tax exemption, , , ,1180
1180,you leave her alone,margo congratulations,dade who are these guys,you leave her alone margo congratulations dade who are these guys, , , ,1181
1181,what's happening here,we go again some how i,knew this would happen,what's happening here we go again some how i knew this would happen, , , ,1182
1182,it's all about who,you look at first in a room,of people laughing,it's all about who you look at first in a room of people laughing, , , ,1183
1183,black panther comes out,in a couple weeks my ass,is so excited,black panther comes out in a couple weeks my ass is so excited, , , ,1184
1184,i love lydia,and their new song sounds so much,like their old music,i love lydia and their new song sounds so much like their old music, , , ,1185
1185,if anyone comes,to rascals today expect,a swift roundhouse kick,if anyone comes to rascals today expect a swift roundhouse kick, , , ,1186
1186,promised not to eat,my emotions anymore,but well here i am,promised not to eat my emotions anymore but well here i am, , , ,1187
1187,it's not okay to,bash crandall if you don't go,to crandall point blank,it's not okay to bash crandall if you don't go to crandall point blank, , , ,1188
1188,landed as gardner,hit the triple go back up,and come down again,landed as gardner hit the triple go back up and come down again, , , ,1189
1189,as a democrat,it will bring me so much joy,not to vote for joe,as a democrat it will bring me so much joy not to vote for joe, , , ,1190
1190,pentagon did a,cameo on age of youth,this is meant to be,pentagon did a cameo on age of youth this is meant to be, , , ,1191
1191,she make me forget,what i was even mad at,when i talk to her,she make me forget what i was even mad at when i talk to her, , , ,1192
1192,every season,drip season but drip gotta,be serve in the fall,every season drip season but drip gotta be serve in the fall, , , ,1193
1193,very few things in,life are as annoying as,humans in airports,very few things in life are as annoying as humans in airports, , , ,1194
1194,it's so annoying,telling people the same thing,over and over,it's so annoying telling people the same thing over and over, , , ,1195
1195,i'm going to wake,up any moment and i'll,be in my own bed,i'm going to wake up any moment and i'll be in my own bed, , , ,1196
1196,babies food must touch,the floor before they can eat,it apparently,babies food must touch the floor before they can eat it apparently, , , ,1197
1197,the more genuine,effort i put in the more,followers i lose,the more genuine effort i put in the more followers i lose, , , ,1198
1198,karen no longer,lives in potomac what is,she talking about,karen no longer lives in potomac what is she talking about, , , ,1199
1199,my eyebrows just now,recovering from when that,lady fucked me up,my eyebrows just now recovering from when that lady fucked me up, , , ,1200
1200,happy mother's day,to all the wonderful moms,all around the world,happy mother's day to all the wonderful moms all around the world, , , ,1201
1201,so not only does,my house not have ac now,there's also no heat,so not only does my house not have ac now there's also no heat, , , ,1202
1202,if you arent high,key in love with post malone,then we cant be close,if you arent high key in love with post malone then we cant be close, , , ,1203
1203,we get excited,every friday just to,get our hopes crushed,we get excited every friday just to get our hopes crushed, , , ,1204
1204,owens i made soup,toast went back to pulp so all,in all pretty good,owens i made soup toast went back to pulp so all in all pretty good, , , ,1205
1205,mood driving late at,night with no destination,while blasting music,mood driving late at night with no destination while blasting music, , , ,1206
1206,looks into a non,existent camera like,he's in the office,looks into a non existent camera like he's in the office, , , ,1207
1207,you really do glo,up once you remove toxic,people from your life,you really do glo up once you remove toxic people from your life, , , ,1208
1208,getting my nails done,was such a relief now i,can finish my work,getting my nails done was such a relief now i can finish my work, , , ,1209
1209,oh boy its snowing,pretty bad out there now its,still going downhill,oh boy its snowing pretty bad out there now its still going downhill, , , ,1210
1210,definitely need,to get the greatest showman,soundtrack i'm obsessed,definitely need to get the greatest showman soundtrack i'm obsessed, , , ,1211
1211,you've got me nervous,to speak so i just won't say,anything at all,you've got me nervous to speak so i just won't say anything at all, , , ,1212
